Recency,Frequency,Monetary
66,15,-51.739999999999995
2,2,1323.32
73,1,222.16
42,4,2646.99
10,1,300.93
10,2,343.8
43,1,317.76
202,1,488.21000000000004
15,3,3560.3
23,2,12079.99
10,3,2719.01
60,8,2469.36
14,6,1550.83
97,3,321.35
373,1,130.0
268,1,500.24
263,1,917.6999999999999
48,3,1791.15
259,3,774.62
44,3,2179.42
259,2,763.0500000000001
56,3,2246.29
24,2,503.15
16,2,1798.2
197,1,1407.7
57,2,767.98
16,10,5167.44
317,1,-18.38
14,2,1923.4
1,1,258.9
50,1,143.94
80,2,1120.45
37,3,1433.33
99,6,2259.58
226,1,234.75000000000003
17,3,794.15
6,4,2048.64
309,1,931.43
20,3,853.65
49,1,205.25
27,6,1018.55
156,1,591.6600000000001
317,1,63.24
23,4,2791.46
14,5,1437.07
55,6,12033.539999999999
137,1,320.38
44,1,346.9
37,5,1354.15
37,1,241.35
98,5,130.0
10,7,19543.84
291,1,202.56
36,15,3109.91
48,4,1348.37
20,2,503.01
50,3,286.56
29,18,3315.79
22,2,763.08
57,5,1528.82
65,2,903.61
281,2,728.6800000000001
6,1,303.5
0,6,3685.11
8,16,4303.02
1,6,7052.99
16,1,297.29
31,4,6096.04
28,28,7498.19
317,3,1089.18
92,3,768.15
1,1,173.55
367,1,485.31
35,2,293.08000000000004
45,2,768.6
34,5,469.07
98,4,3613.0099999999998
30,7,4292.71
80,4,3413.09
52,2,554.53
62,2,830.09
240,1,454.36
91,1,326.65
317,1,56.73
21,2,0.0
65,7,2900.5099999999998
157,2,3070.54
324,1,211.95
7,81,19197.49
4,26,10727.21
3,25,4849.98
44,1,426.26
9,18,7137.54
34,3,7056.63
34,4,2153.4700000000003
0,8,6626.17
84,32,21893.53
13,14,2496.34
112,8,1806.93
164,1,708.1
66,1,1037.28
365,2,259.79999999999995
13,12,4400.71
38,1,452.0
0,5,604.17
269,2,323.4
255,2,45.34
35,3,5168.650000000001
195,1,393.72
70,12,1666.04
219,1,1126.0
52,2,297.0
28,2,912.5
219,1,539.25
94,14,2706.76
49,2,3065.77
276,1,580.08
65,2,1336.56
99,2,354.35
9,17,2455.48
23,10,6605.64
126,8,835.1800000000001
129,2,386.8
157,2,311.78000000000003
44,7,2066.23
315,2,1773.83
253,6,1149.99
43,1,732.94
13,1,276.5
85,3,5646.400000000001
13,17,8798.25
119,4,423.38
83,1,980.25
135,1,175.78
210,6,1575.68
20,3,896.57
83,1,468.5
317,1,129.23
6,4,6725.18
20,2,1185.18
43,1,249.24
2,8,4278.88
279,1,70.0
317,1,77.52
16,4,556.87
92,2,622.8199999999999
27,5,776.89
16,5,990.5
20,3,1819.0900000000001
211,1,637.2
57,2,1469.04
8,14,7157.5599999999995
3,4,1848.73
34,4,724.08
49,9,2447.49
136,2,-7.9
25,2,886.1
154,6,715.02
13,6,1724.29
139,1,299.02
70,6,1411.99
16,6,1264.14
6,16,2374.75
39,1,104.19999999999999
0,5,1225.45
317,1,21.0
39,1,415.79
9,7,2291.01
23,7,3354.84
48,7,3273.69
17,2,388.1
195,1,140.14
0,22,10967.24
51,8,3334.7400000000002
144,2,2481.06
20,2,1558.22
66,6,2811.77
155,4,738.88
17,5,3454.58
170,2,490.0
27,2,1241.23
373,1,141.0
13,4,2280.91
274,1,249.8
69,2,826.27
20,8,4490.66
65,5,1337.63
44,5,1743.72
2,35,14012.87
69,4,778.95
0,7,1634.99
13,4,251.29999999999998
69,1,97.05000000000001
161,1,1950.98
58,1,261.35
60,4,2338.06
71,1,162.0
8,11,3132.09
259,3,204.0
149,2,1188.16
52,3,239.7
29,1,1248.42
13,6,7575.88
20,2,764.24
241,1,2622.481
224,2,184.6
36,1,619.5
188,4,933.55
43,6,1441.7
190,3,389.3
10,10,16262.87
2,30,16874.17
0,24,11657.59
0,9,4197.51
6,1,89.14
115,2,2138.91
55,1,134.6
272,1,110.95
31,5,809.46
50,2,969.78
163,3,825.02
69,3,801.15
225,1,339.75
52,1,638.11
164,4,1648.7
268,5,617.48
9,8,4739.76
317,1,-91.89
3,15,2501.84
1,30,20769.63
246,2,1339.05
0,14,2738.03
23,7,9384.85
225,1,277.93
4,13,2334.6
0,4,1277.7
18,3,1286.11
6,4,2266.76
22,4,1405.5
77,3,1698.8300000000002
18,1,233.84
156,1,829.25
77,5,6879.8
24,5,1942.87
9,2,529.25
133,2,3710.5
7,1,155.35
20,2,1713.69
164,2,406.07
234,2,1185.02
94,4,4037.77
121,3,925.41
162,3,230.85000000000002
4,22,4949.08
0,159,20491.27
20,8,2460.29
79,1,268.27
0,19,4203.15
94,6,6987.41
21,5,3489.3
90,1,347.8
92,2,782.95
4,1,320.08
107,6,1404.58
1,5,3036.8
10,1,949.82
66,2,3.552713678800501e-15
34,6,1624.5
99,2,262.5
199,2,1.7763568394002505e-15
170,1,98.7
23,2,300.08
302,1,55.5
92,1,519.45
31,3,953.45
6,10,2538.06
233,1,337.4
9,8,2252.7200000000003
164,1,1230.33
170,3,773.6
244,1,728.5
48,2,395.52
98,4,444.9
147,2,181.5
42,2,238.53
8,8,585.15
169,2,413.34
6,2,471.85
263,1,381.0
0,4,531.28
56,1,1533.8899999999999
164,1,219.35
105,3,584.25
112,2,1031.87
77,7,1937.84
28,1,1092.81
100,2,325.37
16,4,1434.95
70,4,2878.96
17,3,269.95
3,3,422.45
188,6,1220.98
169,2,534.99
13,2,519.05
136,3,1687.8
34,2,524.94
93,1,540.52
32,9,1705.6
246,1,128.07999999999998
29,13,4742.0
156,2,518.63
0,8,1460.57
185,1,92.30000000000001
98,2,236.06
53,49,5972.19
24,13,3910.2200000000003
204,1,528.5600000000001
8,11,2672.3
2,16,4344.21
72,5,1299.6
4,18,3468.36
39,2,799.0
17,25,4659.8
77,2,322.64
317,1,15.58
22,1,765.36
310,1,208.0
16,4,2032.18
80,1,330.0
112,1,148.95
56,7,1846.8
196,6,1618.42
7,4,612.84
71,5,2577.85
18,2,121.08
93,1,575.1
328,1,54.22
254,1,68.25
60,2,984.62
14,5,2271.35
143,1,152.45
13,2,1755.24
109,2,668.23
32,6,3819.92
8,3,640.0
316,1,337.66999999999996
1,4,1662.05
74,1,363.38
0,12,3055.37
32,2,1653.3
20,3,933.42
106,3,1013.76
29,3,1850.5700000000002
36,8,1406.3700000000001
16,2,640.13
18,1,222.4
16,6,365.66
22,1,329.3
93,9,488.5
31,1,263.38
210,1,157.35
365,1,-29.75
16,2,297.75
98,2,296.21000000000004
48,1,366.4
57,1,340.33
63,1,833.53
211,3,1011.82
30,3,440.36
15,3,1026.0
57,5,905.94
14,6,2671.98
186,1,1651.72
3,9,4217.2300000000005
35,1,223.98
7,7,721.2
77,3,1534.78
35,7,3735.5
261,3,-10953.5
206,3,323.86
1,55,18249.71
25,2,597.6
27,9,1493.2
227,1,35.28
46,4,1523.97
29,1,197.31
13,7,2242.19
15,51,37836.86
174,8,1698.56
15,7,970.6
371,1,181.65
9,11,2025.56
98,5,1593.34
14,12,13683.0
359,1,377.49
0,1,258.75
28,3,492.75
291,1,437.16
71,1,324.45
8,1,304.04
365,2,252.48000000000002
17,18,11247.98
9,12,2122.35
157,1,498.96000000000004
273,1,162.45
319,3,413.82
176,9,4649.38
35,2,467.34
119,2,133.35
48,4,1322.07
14,1,211.99
0,6,1671.76
72,1,132.24
6,2,2646.02
237,1,122.45
15,6,1048.13
1,34,4552.4800000000005
48,6,1115.95
48,1,385.55
200,1,264.15
65,8,1993.99
13,7,2417.7799999999997
136,3,474.64
20,6,2496.07
364,2,479.53999999999996
14,14,8817.33
23,15,2184.92
233,1,490.08000000000004
37,12,1998.3400000000001
55,3,753.51
59,20,5992.29
52,4,546.0
24,1,261.06
360,1,93.35000000000001
58,6,776.5
10,1,355.5
23,9,867.1700000000001
127,4,897.38
205,2,430.15000000000003
39,22,14241.53
51,2,293.18
21,24,5530.56
62,3,466.08
214,1,175.25
32,5,364.81
307,1,234.0
9,2,330.12
7,1,50.550000000000004
64,4,1279.56
6,18,7814.83
62,2,1855.4
63,9,3119.44
36,8,2470.06
14,8,1212.95
183,5,606.96
0,13,2201.98
64,1,65.3
163,1,759.13
99,3,535.42
366,1,323.39
123,5,753.97
20,17,10140.0
9,2,679.8
3,1,402.36
42,5,3292.84
27,8,1793.48
64,1,30.0
4,2,279.91
66,1,442.32
319,1,307.1
34,13,2961.48
219,4,1010.73
85,4,799.13
219,4,1454.84
127,12,4257.88
36,2,503.64
91,1,319.94
8,27,5387.62
71,8,2210.67
24,3,727.46
1,30,6107.83
213,2,155.8
55,6,2771.18
256,1,127.65
317,1,-14.0
44,2,1090.55
186,1,209.48
165,4,528.24
48,11,2077.82
115,1,188.4
185,2,561.25
8,6,1050.1000000000001
44,2,393.05
4,17,4968.150000000001
94,4,515.1
247,1,129.22
46,2,418.08
146,5,1362.8400000000001
92,1,135.4
1,11,2301.85
1,53,16451.55
52,1,199.08
36,4,202.75
6,25,30363.670000000002
59,15,3673.44
60,1,91.67999999999999
122,2,116.44999999999999
55,7,1187.08
17,1,439.33000000000004
361,1,313.64
52,1,236.11
3,132,55801.73
0,15,5078.94
364,4,-450.03999999999996
49,9,1547.5
8,76,46332.26
3,2,505.8
29,1,419.70000000000005
23,26,6910.49
259,1,-1598.67
133,3,594.21
0,16,5103.83
72,2,465.70000000000005
50,3,610.62
71,1,72.0
48,1,526.96
44,10,3585.55
7,2,748.46
184,2,340.74
72,6,1443.3000000000002
353,1,321.88000000000005
176,3,-5.44
1,22,6067.5599999999995
365,1,234.38
1,10,3168.82
0,13,1657.2
11,5,1209.1
303,1,134.9
107,2,506.75
20,1,885.33
158,1,148.62
1,11,1846.18
266,1,263.5
87,2,233.25
53,4,2240.47
94,1,90.65
37,2,681.65
126,1,275.45
0,14,3532.42
21,8,3983.65
7,3,492.1
72,1,3138.04
1,3,790.71
20,15,5138.33
217,2,399.2
66,1,24.4
7,4,805.0
24,19,4674.99
105,4,435.02
260,3,1145.79
52,9,2114.98
34,4,1609.29
3,3,778.42
20,3,1586.54
44,5,3946.14
23,1,307.12
135,1,359.38
15,14,7471.95
245,2,0.0
204,3,297.46000000000004
48,1,429.68
49,1,458.73
25,1,333.82
177,1,541.14
197,1,127.2
35,1,69.6
2,12,2193.26
4,10,6621.6
189,4,793.1
65,1,229.75
32,14,8272.42
253,1,572.3100000000001
242,1,86.10000000000001
16,1,359.69
29,9,3053.1
259,4,86.64
179,4,518.76
293,1,164.69
153,6,1632.59
56,1,412.08
49,1,136.73
78,4,1261.86
244,1,373.01000000000005
20,4,1528.19
1,31,6601.02
137,4,1233.06
13,8,1571.35
21,7,1761.09
366,1,966.6600000000001
78,1,2803.2
35,15,8211.0
86,2,285.6
84,3,758.65
149,5,2617.9
16,9,1500.9
13,8,2316.19
52,7,3264.23
37,1,81.6
290,1,132.5
253,1,76.23
210,1,516.8
212,1,88.5
58,4,805.9200000000001
56,9,9796.23
28,1,204.25
0,17,3457.83
181,1,-355.2
55,2,571.34
307,2,346.5
22,1,643.0
65,2,305.9
72,5,1250.28
0,6,958.86
46,1,112.53
86,4,429.0
84,4,635.26
67,1,558.72
28,7,1345.68
36,6,897.52
87,3,245.59
37,1,252.68
29,3,341.3
65,2,1920.71
11,1,51.410000000000004
8,2,504.95
62,3,117.95
14,2,336.59999999999997
32,8,1119.36
24,2,373.16
28,4,1239.27
77,1,722.5600000000001
30,11,2247.63
1,25,5107.77
4,14,3545.47
1,1,590.0
44,1,360.85
18,2,238.86
32,5,1280.28
15,3,264.9
34,4,885.47
14,5,1469.37
72,3,306.45
41,1,181.05
202,2,279.7
235,2,655.47
235,1,734.91
218,7,519.67
78,6,892.16
358,1,307.95
65,3,-208.63
49,10,2909.68
45,4,408.85
27,7,1180.34
281,1,815.79
7,8,860.07
58,5,705.11
20,4,2262.82
48,4,1030.8
23,3,901.9200000000001
161,1,95.45
35,1,61.72
83,6,820.37
7,7,1751.75
65,1,53.65
122,2,258.34
231,1,284.86
27,1,249.58
15,2,409.17
86,1,124.75
114,10,1867.95
324,1,310.26
27,7,7085.49
14,22,3928.4610000000002
0,45,11041.75
63,3,669.25
63,11,3348.57
67,1,281.76
0,15,6123.46
1,11,4236.62
90,3,1655.17
36,1,262.4
46,3,1015.74
171,3,2692.73
175,1,-955.06
153,2,1548.55
168,7,1791.8
52,5,11364.08
217,1,-14.100000000000001
97,6,299.4
23,1,-28.849999999999998
129,4,3196.11
28,2,570.7
63,7,1464.1
107,2,1450.5
13,5,2272.08
44,1,731.36
28,1,-26.9
66,1,510.20000000000005
49,3,462.7
0,1,308.28000000000003
1,2,721.32
133,4,2271.46
50,3,4274.94
49,2,422.8
79,1,1013.58
31,4,1495.43
57,1,-756.4
67,1,62.4
14,8,4558.21
63,4,1164.59
178,1,305.28000000000003
25,6,2512.81
49,2,835.46
52,1,186.94
238,1,508.55
312,1,91.14
218,6,1105.85
14,14,4011.08
35,2,872.51
72,7,1554.93
83,1,213.0
99,3,275.4
209,2,300.93
259,1,-1834.14
7,3,913.9000000000001
22,2,154.5
108,6,624.11
62,3,557.22
213,6,2111.89
6,57,23365.442
259,1,-525.65
28,5,1183.6
255,1,487.34999999999997
274,8,345.8
98,4,1091.74
107,5,665.42
371,1,228.3
182,5,953.0600000000001
7,16,6020.02
41,8,2212.84
63,1,217.03
79,2,557.92
143,5,1738.52
17,12,4526.06
112,3,423.93
149,2,276.76
41,7,2020.14
206,2,439.1
72,5,656.87
20,3,1132.6200000000001
11,2,637.44
182,1,46.5
23,2,702.9
58,10,1213.95
66,1,424.26
302,3,419.87
83,7,1240.71
9,2,619.08
261,1,241.89999999999998
55,18,3608.86
8,11,4935.78
9,8,2073.82
16,7,4180.55
107,1,139.8
28,3,402.01
276,1,219.87
1,8,1766.47
323,4,143.27
14,2,2312.7
259,2,1160.4099999999999
35,5,2693.5
45,4,1002.35
55,1,-158.65
29,6,2409.21
81,2,931.12
31,5,654.3
3,49,7419.86
288,1,82.4
98,2,592.24
209,7,1993.44
78,2,419.75
41,3,823.0
90,5,1364.59
104,7,2068.03
84,4,517.5
51,2,627.82
3,7,2022.03
262,1,151.45
18,3,453.52
11,14,2503.68
140,2,271.47
2,13,6603.12
289,1,154.25
7,18,3350.7400000000002
1,9,3256.49
3,6,945.28
365,1,327.38
36,1,299.53
121,3,1529.79
45,3,482.6
114,11,1530.54
4,6,1156.83
277,1,176.07999999999998
142,1,135.0
10,12,2703.23
118,2,244.61
22,3,462.18
76,3,591.89
63,3,663.7
84,2,374.7
52,1,295.85
77,1,220.46
6,8,3192.9
1,2,1136.64
373,4,942.5999999999999
53,6,2288.98
317,1,-40.0
269,1,402.97999999999996
1,5,1254.72
9,17,1711.42
37,1,89.5
60,2,717.85
31,5,1822.28
55,5,925.42
102,3,632.39
58,3,717.9
11,18,3924.09
269,2,1439.6100000000001
46,5,505.64
25,3,337.64
17,2,465.15
43,1,167.08
106,1,223.28
22,1,87.6
18,1,342.55
301,1,152.39999999999998
44,16,3049.1
309,1,499.6
15,10,1547.46
13,12,4700.11
64,2,200.82
29,14,2396.02
147,2,990.0
32,10,1661.54
36,5,3038.85
3,50,14948.800000000001
46,1,174.57999999999998
69,3,831.76
63,5,1074.19
2,3,497.74
17,14,2448.32
14,4,614.27
46,1,404.45
8,13,4812.85
17,9,1688.32
44,1,147.66
4,5,1068.8
41,1,107.75
49,1,162.53
24,2,241.68
314,1,664.001
133,4,198.0
165,4,674.46
176,1,127.28
84,3,961.1
84,4,741.09
10,14,4308.62
70,5,964.0600000000001
22,10,3479.73
120,2,111.45000000000002
151,3,784.48
23,3,372.21
130,4,601.92
1,21,4759.74
269,1,298.9
27,2,466.67
16,3,596.28
287,2,713.39
22,2,522.67
27,2,382.6
175,1,232.05
228,1,167.35
22,8,1006.08
9,10,2118.63
153,2,777.79
87,5,1039.8500000000001
28,2,747.28
29,10,5812.24
203,2,283.85
43,6,719.62
179,2,224.94
163,1,112.34
323,2,651.45
15,8,1760.53
16,2,427.18
231,1,301.26
9,2,432.26
123,3,593.53
311,1,310.14
48,8,5578.5
29,4,1517.68
238,1,-306.66
9,12,2932.4900000000002
72,5,1877.19
71,1,312.93
246,1,405.0
275,7,921.82
67,4,147.17
15,12,1592.73
34,3,323.3
129,4,1393.56
35,11,1679.01
1,5,1304.88
9,9,1289.16
16,2,114.75
3,3,1475.77
122,1,152.2
15,5,3600.67
9,6,1326.33
93,5,673.7
18,6,3350.6
51,14,3165.78
30,2,295.74
238,1,325.24
20,10,1304.05
15,5,1824.14
317,1,-13.14
21,3,1711.6599999999999
55,2,43.25
17,18,6445.37
42,1,195.0
29,1,172.6
365,1,233.53000000000003
64,2,215.88
174,3,153.15
39,2,551.24
128,3,281.26
106,8,7700.55
92,1,258.6
25,4,482.29
15,2,337.04
73,1,11880.84
270,1,375.5
79,1,349.5
31,1,212.78
35,3,1549.58
9,11,1980.32
8,105,128172.42
212,1,266.6
56,4,2008.7
231,2,451.73
182,2,402.82
52,4,321.09
72,2,159.55
80,1,135.18
48,2,8.881784197001252e-16
8,5,1323.47
261,1,300.38
64,3,2559.45
81,5,1263.7
58,2,329.04
41,13,1380.55
245,1,537.58
43,3,740.76
100,1,161.35
7,14,7328.75
87,4,315.79
28,6,1741.4
30,1,217.39999999999998
55,7,3260.0
27,5,994.23
272,1,213.01
246,7,727.9200000000001
22,10,1839.03
70,5,676.4300000000001
45,3,484.53000000000003
143,6,3445.34
11,14,6657.88
60,9,1979.3700000000001
31,1,434.78000000000003
162,1,75.3
50,4,1232.02
176,2,469.73
48,1,176.69
8,2,169.79999999999998
8,5,1320.1
336,1,-10.25
9,8,1916.3400000000001
162,1,404.45000000000005
233,3,1353.31
72,1,164.45000000000002
2,11,3983.3300000000004
309,1,195.55
1,14,6072.59
39,4,1071.85
137,4,881.52
228,4,2165.76
23,3,3492.53
204,3,1400.2
288,1,352.821
130,1,190.35
4,48,18169.97
198,8,758.07
2,14,2994.76
57,4,785.37
168,5,3094.37
30,6,1957.89
31,2,301.54
225,1,1049.66
63,8,-340.17
0,42,30268.22
126,4,937.84
150,1,161.13
42,1,372.06
227,3,643.04
88,8,869.27
122,4,1542.09
69,4,434.39
63,4,542.49
2,8,2505.46
91,7,864.66
140,1,3.75
23,1,239.45999999999998
57,1,188.4
281,1,96.0
181,1,126.03
23,4,836.3
134,1,289.7
71,4,1168.45
7,63,37222.05
72,11,1350.96
65,2,1121.24
9,18,21585.29
66,3,1042.04
70,2,572.73
2,4,397.3
29,2,524.65
156,7,1333.01
148,2,676.95
31,5,3270.88
64,1,61.28
304,4,1490.75
53,5,632.5
27,5,969.74
14,6,2400.89
14,9,1574.42
256,2,255.59
56,1,102.0
209,2,135.95000000000002
4,15,4780.69
57,1,557.6899999999999
39,1,316.56
211,3,247.89
154,4,210.25
34,3,602.52
4,7,1245.91
121,1,139.95000000000002
51,1,651.4
1,11,2219.34
16,1,319.75
34,1,442.73
354,1,310.72
1,6,2080.0
32,4,1905.85
14,6,1865.3000000000002
241,2,170.45000000000002
0,17,4133.19
135,5,1253.94
98,10,695.48
28,7,997.11
164,1,314.7
64,3,251.31
24,1,346.73
83,4,918.07
21,1,662.4000000000001
16,6,4913.22
15,8,2938.59
59,7,1415.15
148,6,891.32
18,5,649.32
139,9,1448.75
22,9,3027.58
99,4,329.09
182,3,1145.33
280,1,395.5
2,5,1171.89
10,29,27402.98
15,17,3803.99
11,8,1007.63
39,5,1405.92
17,7,1438.8300000000002
9,8,997.87
13,3,859.21
112,2,634.68
141,3,1335.5
260,1,388.55
73,2,849.56
46,1,530.47
15,4,867.14
9,15,2732.14
267,8,30411.26
35,1,165.45000000000002
206,3,244.45
44,1,42.0
326,1,136.8
58,2,282.85
78,1,-127.66
14,13,1619.1299999999999
58,1,124.95
141,1,42.22
29,2,31.200000000000003
98,5,1260.51
59,2,975.87
66,5,1734.88
34,5,720.75
52,4,652.45
48,2,340.97
51,11,2515.25
27,9,4019.85
231,3,6116.92
17,2,563.08
31,2,708.53
63,6,976.91
6,12,5933.74
169,1,320.0
212,1,246.54
288,1,200.43
29,2,854.15
11,4,1183.8600000000001
46,4,434.86
9,14,9544.8
44,5,3125.0
10,1,221.10999999999999
52,3,458.25
7,12,4504.78
34,3,470.73
20,2,498.7
70,1,193.25
2,15,2235.08
22,3,421.9
90,5,777.6600000000001
70,1,384.26
31,1,85.6
58,1,123.66
0,20,4181.03
21,2,846.55
52,7,1891.6100000000001
212,3,249.93
28,7,2786.66
141,3,834.38
46,1,519.8100000000001
28,10,2420.66
72,8,521.88
35,2,327.39
0,9,2494.98
1,18,4377.75
1,8,1128.09
9,8,2957.78
14,2,682.54
18,2,609.84
99,3,759.98
15,2,142.7
14,12,3280.7000000000003
14,12,2452.77
21,2,895.76
154,3,376.46
81,3,566.7
9,21,5572.75
49,6,1243.88
8,7,2487.01
367,1,209.41
28,4,1675.81
163,4,1234.48
147,1,79.48
10,2,493.74
97,1,404.3
200,3,288.09999999999997
115,3,451.91999999999996
15,3,533.2
11,2,1443.03
31,8,7051.25
206,1,229.75
280,1,367.15000000000003
111,3,570.46
9,4,1084.68
121,1,352.15000000000003
25,1,318.04
99,10,3969.1
105,2,713.11
133,5,3175.5
1,16,5722.76
0,35,23311.74
1,8,1856.23
190,1,109.44
41,6,1362.48
113,5,608.75
23,4,1446.45
210,1,115.08000000000001
21,27,8848.49
360,1,431.98
126,3,299.65
53,7,2414.33
8,16,8000.88
0,14,2868.7200000000003
17,2,338.76
22,12,7312.25
1,17,6587.56
25,1,241.3
32,2,312.05
212,2,795.3199999999999
16,5,2135.0
97,2,469.19
1,14,3367.76
142,3,917.4300000000001
9,15,14951.43
65,13,-3767.1999999999994
65,14,1798.6499999999999
24,4,889.37
231,4,1227.47
149,2,225.81
319,1,321.6
301,1,390.85
258,1,219.39999999999998
38,3,792.61
30,1,115.66
8,4,640.34
317,1,243.63
48,5,1030.13
4,13,4279.27
27,1,231.10999999999999
6,3,373.3
147,1,150.5
3,16,5607.43
97,1,39.95
39,3,608.0
22,6,11984.53
289,2,9530.08
7,11,3146.64
74,2,310.82
357,1,2.95
116,2,422.85999999999996
10,10,2592.7400000000002
23,8,3965.34
300,1,0.0
24,3,527.3199999999999
29,7,4443.65
372,1,214.79999999999998
72,5,2165.2200000000003
366,2,447.05
70,22,7287.95
86,15,2750.34
10,23,4778.83
30,5,977.5600000000001
136,2,622.6700000000001
63,1,458.45
10,2,183.37
65,1,-23.8
29,5,309.77
368,1,436.18
79,1,466.33000000000004
15,3,1190.3700000000001
178,2,271.86
34,4,1467.48
10,3,1377.86
283,1,168.22
368,1,305.5
17,15,11123.35
2,12,4914.74
35,7,1553.96
316,2,294.1
125,3,670.98
8,4,655.94
121,1,30.599999999999998
94,3,3857.85
18,7,5259.3
23,9,1550.9
49,1,309.09000000000003
308,3,666.7
22,6,1364.35
118,1,233.4
16,8,4917.98
6,138,183163.55
24,3,553.8000000000001
14,11,2879.03
245,7,8421.47
4,5,2182.46
97,1,148.71
140,2,251.15
99,4,711.7
55,3,305.9
65,2,621.51
10,3,570.18
365,1,135.0
240,4,356.27
276,3,116.11
15,10,4242.38
2,2,339.11
16,9,1660.23
7,12,1469.98
45,2,308.35
78,5,660.07
46,2,278.34000000000003
62,5,1550.63
108,1,123.5
3,2,1160.31
301,1,79.9
29,3,53.4
23,1,293.74
31,1,356.8
27,22,7226.12
70,7,1418.54
45,1,390.05
35,6,864.08
35,5,731.0999999999999
252,1,379.2
44,3,446.1
16,3,847.76
32,1,339.34
57,3,874.22
0,9,1689.6
15,3,836.9499999999999
322,1,157.8
186,1,415.31
20,12,2870.2400000000002
6,15,3913.4300000000003
46,13,2093.39
80,1,1119.6599999999999
6,2,-1.4210854715202004e-14
3,4,1626.61
44,2,303.09
0,11,1281.51
44,2,543.89
202,2,882.5999999999999
84,9,3078.7400000000002
25,5,831.98
69,5,2009.17
70,2,766.14
49,7,3011.6
72,3,745.5
38,6,1018.39
70,3,979.8000000000001
85,1,309.91
9,5,1319.45
133,4,1573.1299999999999
7,6,1241.88
8,3,466.04
297,2,287.38
66,11,1880.22
58,1,357.15
331,1,120.0
0,10,4829.4800000000005
294,2,354.82
39,5,613.84
94,2,730.37
45,12,5400.461
16,1,350.99
128,2,363.40000000000003
67,1,601.03
181,4,-1441.6
126,6,1449.08
15,4,2854.73
23,22,18377.27
106,3,824.28
58,1,322.93
7,6,1141.89
99,2,843.17
63,1,40.56
336,2,-19.9
105,1,354.85
70,2,261.68
44,1,101.86
197,2,482.85
321,1,256.6
30,6,1189.3799999999999
35,8,909.93
46,10,367.4699999999999
44,1,205.83
155,2,191.86
43,1,245.15
2,12,4115.32
98,4,628.4399999999999
288,1,704.4
148,5,1248.63
34,7,3800.89
48,8,1901.48
15,13,3971.1
37,13,4068.57
3,7,2127.77
42,1,375.34
73,6,2161.36
48,3,448.45
10,39,39626.87
0,25,9972.42
44,5,1324.19
65,3,742.9000000000001
42,2,277.94
14,3,1326.71
13,4,1058.0800000000002
8,6,2067.36
184,5,-849.45
48,2,1428.28
67,1,492.1
202,1,206.19
13,5,1478.7
259,1,-302.31
48,2,101.9
168,3,711.74
57,6,1355.34
95,1,158.02
59,2,476.95000000000005
181,4,861.01
63,3,667.83
62,6,384.3
44,2,701.61
204,1,245.48000000000002
98,2,757.13
17,5,1583.28
65,3,-445.06
10,14,4806.78
258,1,200.63
16,2,1077.2
60,5,1753.52
366,1,-658.63
171,1,339.88
63,1,310.75
55,11,2277.09
67,3,235.03
56,4,1079.66
2,14,2443.77
60,3,1294.17
371,1,82.6
15,2,689.1
45,2,285.9
0,3,840.0500000000001
24,3,384.29999999999995
213,1,214.70999999999998
37,2,227.47000000000003
29,2,634.68
160,1,136.0
277,2,469.13
85,9,1092.13
78,3,830.1800000000001
176,1,108.0
85,2,871.26
318,1,215.46
256,1,131.25
